,Endereco,LATITUDE,LONGITUDE
15001,"rua maria brenny, CIDADE INDUSTRIAL, Curitiba",-25.4548275,-49.3504643
15002,"rua são marcos, SANTA TERESINHA, Curitiba",-28.9689486,-51.0710634
15003,"rua rua olindo caeteni, UBERABA, Curitiba",-25.4858632,-49.2193668
15004,"rua sem endereço, NOVO MUNDO, Curitiba",-25.4890253,-49.2941253
15005,"rua sem endereço, ALTO BOQUEIRÃO, Curitiba",-25.5317642,-49.2421568
15006,"rua iracema lisboa, CAJURU, Curitiba",-25.4463913,-49.20079639999999
15007,"rua dorotea armelinda de souza, FAZENDINHA, Curitiba",-25.4789783,-49.3182558
15008,"rua carlos roberto kaseker, ALTO BOQUEIRÃO, Curitiba",-25.5251047,-49.2463579
15009,"rua josé ferreira da rocha, BOQUEIRÃO, Curitiba",-25.5302673,-49.2882852
15010,"rua luiz sperandio, SÃO BRAZ, Curitiba",-25.4262157,-49.3461826
15011,"rua não informado, BOQUEIRÃO, Curitiba",-25.5067831,-49.2823461
15012,"rua zelinda fanini schier, SÍTIO CERCADO, Curitiba",-25.4741921,-49.2880019
15013,"rua bernardo glodzinski, TINGUI, Curitiba",-25.3900811,-49.21263279999999
15014,"rua joão dalles carbonar, CACHOEIRA, Curitiba",45.5945645,-121.1786823
15015,"rua anne sulivan, PILARZINHO, Curitiba",-25.3981398,-49.2850618
15016,"rua engenheiro roberto guilherme pereira leite, VISTA ALEGRE, Curitiba",-25.4080502,-49.2867852
15017,"rua dovico dalprá, ABRANCHES, Curitiba",-25.3732252,-49.2704432
15018,"rua ennio puccini, CAJURU, Curitiba",-25.4596471,-49.1953355
15019,"rua oscar de abreu finkensieper, PILARZINHO, Curitiba",-25.3965681,-49.2906834
15020,"rua rio amazonas, JARDIM WEISSOPOLIS, Curitiba",-25.4531972,-49.1908701
15021,"rua des. motta, MERCÊS, Curitiba",-25.4267038,-49.28717289999999
15022,"rua curitiba paranaguá br-277, SÃO BRAZ, Curitiba",-25.4298442,-49.3660727
15023,"rua general mario tourinho, SANTO INÁCIO, Curitiba",-25.4318992,-49.313829
15024,"rua helio soares pinto, CIDADE INDUSTRIAL, Curitiba",-25.4808762,-49.3044253
15025,"rua curitiba engenheiro bley rffsa, CAJURU, Curitiba",-25.5214739,-49.287671
15026,"rua pedro kurzava, PORTÃO, Curitiba",-25.483947,-49.3069254
15027,"rua antonio furtado figueiredo, BARREIRINHA, Curitiba",-25.3746778,-49.2661652
15028,"rua vitório scarante, NÃO INFORMADO , Curitiba",-25.4808762,-49.3044253
15029,"rua augusto severo, JUVEVÊ, Curitiba",-25.4175593,-49.2608726
15030,"rua leonardo da vinci, GUABIROTUBA, Curitiba",-25.4684283,-49.2419747
15031,"rua fernando antonio albert, UBERABA, Curitiba",-25.4869765,-49.1983246
15032,"rua alferes poli, PORTÃO, Curitiba",-25.4522504,-49.2660347
15033,"rua angelo buseti, CIDADE INDUSTRIAL, Curitiba",-25.4519128,-49.3468737
15034,"rua guararapes, PORTÃO, Curitiba",-25.4629237,-49.2913867
15035,"rua claudio paulo da, CAJURU, Curitiba",-21.2755425,-47.30135320000001
15036,"rua espanha, BIGORRILHO, Curitiba",-25.4288123,-49.3008406
15037,"rua prefeito erasto gaertner, CENTRO, Curitiba",-25.3979524,-49.23481959999999
15038,"rua rua ebano pereira, CENTRO, Curitiba",-25.4297549,-49.2747098
15039,"rua chanc. oswaldo aranha, XAXIM, Curitiba",-25.5064759,-49.26414949999999
15040,"rua rua aarão lamenha de siqueira, SÍTIO CERCADO, Curitiba",-25.5415284,-49.2618533
15041,"rua r. francisco leal, CENTRO, Curitiba",-25.4808762,-49.3044253
15042,"rua travesa santo antônio, CAMPO DE SANTANA, Curitiba",-25.4808762,-49.3044253
15043,"rua ?, SANTA CÂNDIDA, Curitiba",-25.3690362,-49.2364955
15044,"rua albano reis, BOA VISTA, Curitiba",-25.4047708,-49.2725652
15045,"rua albino tesserolli, SANTA FELICIDADE, Curitiba",-25.4163186,-49.33047999999999
15046,"rua dionira moletta klemtz, SANTA QUITÉRIA, Curitiba",-25.4704451,-49.32040019999999
