,Endereco,LATITUDE,LONGITUDE
11623,"rua theodorico ricetti, ALTO BOQUEIRÃO, Curitiba",-25.5291046,-49.2517726
11624,"rua joão jacob manfron, SANTA FELICIDADE, Curitiba",-25.4026615,-49.32404649999999
11625,"rua benjamin lins, CENTRO, Curitiba",-25.4394243,-49.2802642
11626,"rua arnaldo tha, FAZENDINHA, Curitiba",-25.4828036,-49.3312113
11627,"rua passeio, CENTRO, Curitiba",-25.4351674,-49.2754909
11628,"rua engenheiro mario josé da silva, CAJURU, Curitiba",-21.2755425,-47.30135320000001
11629,"rua guilherme braga de abreu pires, BARREIRINHA, Curitiba",-25.3984538,-49.2950908
11630,"rua professora yeda de souza de castro, JARDIM DAS AMÉRICAS, Curitiba",-25.4808762,-49.3044253
11631,"rua trav. mauro g. zacarias, TATUQUARA, Curitiba",-25.5616973,-49.3392973
11632,"rua canal belem, HAUER, Curitiba",-25.4729763,-49.2445215
11633,"rua amsterdam, SANTO INÁCIO, Curitiba",52.3666969,4.8945398
11634,"rua desembargador joao antonio de barros junior, XAXIM, Curitiba",-25.5065778,-49.2778333
11635,"rua tiepolo severino, CAMPO COMPRIDO, Curitiba",-25.4372839,-49.3413597
11636,"rua cyro veloso, AUGUSTA, Curitiba",33.4734978,-82.0105148
11637,"rua deputado sinval martins de araujo, SÍTIO CERCADO, Curitiba",-25.5528004,-49.2463029
11638,"rua julia da costa, CAMPINA DO SIQUEIRA, Curitiba",-25.4372112,-49.3036561
11639,"rua doutor joao antonio ferreira, SANTA CÂNDIDA, Curitiba",-25.3691696,-49.2093566
11640,"rua itatiaia, CIDADE INDUSTRIAL, Curitiba",-25.4780069,-49.30150460000001
11641,"rua presidente faria, SÍTIO CERCADO, Curitiba",-25.4273866,-49.2685354
11642,"rua br cento e dezesseis, CIDADE INDUSTRIAL, Curitiba",-25.4808762,-49.3044253
11643,"rua elizabete charlote brand, SÍTIO CERCADO, Curitiba",-25.5337241,-49.251827
11644,"rua ernesto krainski, FAZENDINHA, Curitiba",-25.4854698,-49.3162987
11645,"rua joão ferreira, SÍTIO CERCADO, Curitiba",-25.5530921,-49.2663212
11646,"rua teodoro grischy, CAJURU, Curitiba",-25.457303,-49.202953
11647,"rua paulo ziliotto, CAMPINA DO SIQUEIRA, Curitiba",-25.4375037,-49.3131003
11648,"rua capitão ercílio miró, ALTO BOQUEIRÃO, Curitiba",-25.5366987,-49.2366403
11649,"rua ernesto de araújo, JARDIM BOTÂNICO, Curitiba",-25.4423819,-49.2499282
11650,"rua cleide iurk, BOA VISTA, Curitiba",-25.3890283,-49.2342702
11651,"rua desembargador ermelino de leão, CIDADE INDUSTRIAL, Curitiba",-25.4295447,-49.2758828
11652,"rua carlos eduardo leão, ALTO DA GLÓRIA, Curitiba",-25.4220728,-49.2647398
11653,"rua miguel romanel, ÁGUA VERDE, Curitiba",-25.4582459,-49.27174369999999
11654,"rua algacyr manoel voluz, TATUQUARA, Curitiba",-25.5796746,-49.336123
11655,"rua cel. brasílio marques, SÃO LOURENÇO, Curitiba",-25.3804893,-49.2645712
11656,"rua bartolomeu lourenço de gusmão, ALTO BOQUEIRÃO, Curitiba",-25.4957009,-49.2349443
11657,"rua atilio viceli, CIDADE INDUSTRIAL, Curitiba",-25.5040295,-49.3297882
11658,"rua santa madalena de piazzi, SEMINÁRIO, Curitiba",-25.4531865,-49.3034812
11659,"rua joao alencar guimaraes, SANTA QUITÉRIA, Curitiba",-25.4579782,-49.31356299999999
11660,"rua coronel dulcidio, ÁGUA VERDE, Curitiba",-25.4476466,-49.2789041
11661,"rua desembargador oscar carvalho e silva (alto boqueirao), ALTO BOQUEIRÃO, Curitiba",-25.5364888,-49.2318566
11662,"rua eduardo couture, JARDIM DAS AMÉRICAS, Curitiba",-25.4633062,-49.2266018
11663,"rua desembargador hugo simas, CENTRO, Curitiba",-25.4155858,-49.2789131
11664,"rua doutor bley zornig, ATUBA, Curitiba",-25.5129372,-49.2286043
11665,"rua abgail de melo zaneto, CAJURU, Curitiba",-25.4601547,-49.2132111
11666,"rua doutor marins alves de camargo, SANTA CÂNDIDA, Curitiba",-25.3812618,-49.2246654
