,Endereco,LATITUDE,LONGITUDE
7951,"rua araçalina, BAIRRO ALTO, Curitiba",-25.4041541,-49.2143016
7952,"rua martin de abreu, JARDIM BOTÂNICO, Curitiba",-25.4467587,-49.2490231
7953,"rua elizeu santana, TATUQUARA, Curitiba",-25.5701855,-49.3191584
7954,"rua vitorio sbalqueiro, VISTA ALEGRE, Curitiba",-25.4005081,-49.3015264
7955,"rua andré ferreira camargo, XAXIM, Curitiba",-25.493109,-49.2639758
7956,"rua comendador franco, CENTRO, Curitiba",-25.4734762,-49.2283968
7957,"rua pedro abibe, CAJURU, Curitiba",-25.4740587,-49.1895372
7958,"rua estanislau kais, CAPÃO RASO, Curitiba",-25.5028245,-49.2878334
7959,"rua santa candida, SANTA CÂNDIDA, Curitiba",-25.3690362,-49.2364955
7960,"rua francisco de freitas saldanha, BOA VISTA, Curitiba",-25.3883395,-49.2491581
7961,"rua basilio fuck, XAXIM, Curitiba",-25.5129188,-49.265642
7962,"rua josé nicco, MOSSUNGUÊ, Curitiba",-25.4345697,-49.3350995
7963,"rua espedicionario francisco alves de oliveira, ALTO BOQUEIRÃO, Curitiba",-25.5388496,-49.2473529
7964,"rua engenheiro benedicto saddock de sa, ATUBA, Curitiba",-25.3734085,-49.2102484
7965,"rua adam kazimierz malisak, UBERABA, Curitiba",-25.4890823,-49.19736169999999
7966,"rua pedro viriato de souza, CAMPO COMPRIDO, Curitiba",-25.4362161,-49.3316059
7967,"rua piaui, PAROLIN, Curitiba",-25.4576167,-49.2683431
7968,"rua orlando molinari, ALTO BOQUEIRÃO, Curitiba",-25.5437637,-49.2409175
7969,"rua antonio maurilio bonato, TATUQUARA, Curitiba",-25.5691521,-49.3303602
7970,"rua maurilio antonio bonato, TATUQUARA, Curitiba",-25.5691521,-49.3303602
7971,"rua anna maurer rutz, BOA VISTA, Curitiba",-25.3830464,-49.2465994
7972,"rua tenente jose ribas kendrick, CAJURU, Curitiba",-25.4751556,-49.2030671
7973,"rua maria de souza -d. mariazinha, UBERABA, Curitiba",-25.4862667,-49.2091244
7974,"rua coronel brasilino moura, SÃO LOURENÇO, Curitiba",-25.4012995,-49.26727589999999
7975,"rua desembargador antônio de paula, XAXIM, Curitiba",-25.5177656,-49.2529881
7976,"rua birmânia, CAJURU, Curitiba",-25.4669874,-49.205026
7977,"rua lírio do vale, CAJURU, Curitiba",-25.4683697,-49.193267
7978,"rua desembargador ermelino de leão, SÃO FRANCISCO, Curitiba",-25.4290485,-49.2760802
7979,"rua joão lunardelli, CIDADE INDUSTRIAL, Curitiba",-25.548078,-49.3209166
7980,"rua ana tosin, PORTÃO, Curitiba",-25.471435,-49.3097739
7981,"rua eleonora branco gracia, TABOÃO, Curitiba",-25.3712,-49.2767592
7982,"rua josé rietmeyer, GUABIROTUBA, Curitiba",-25.4747217,-49.2393043
7983,"rua canal belem, CENTRO CÍVICO, Curitiba",-25.4854914,-49.2346413
7984,"rua luis bertoldi, TATUQUARA, Curitiba",-25.5906057,-49.33334800000001
7985,"rua deputado ladislau lachowski, VISTA ALEGRE, Curitiba",-25.4133116,-49.2935644
7986,"rua maria cavallin losso, UBERABA, Curitiba",-25.4894314,-49.1996011
7987,"rua alvecir citrorski, CIDADE INDUSTRIAL, Curitiba",-25.4506781,-49.355733
7988,"rua doutor ressalo, SANTA FELICIDADE, Curitiba",-25.4039852,-49.32869170000001
7989,"rua da ribeira br-476, SANTA CÂNDIDA, Curitiba",-25.3690362,-49.2364955
7990,"rua pretextato taborda júnior, PORTÃO, Curitiba",-25.464793,-49.31112100000001
7991,"rua fioravante dalla stella, CRISTO REI, Curitiba",-25.4333157,-49.2460567
7992,"rua lírio, ALTO BOQUEIRÃO, Curitiba",-25.5386615,-49.23278089999999
7993,"rua bartolomeu lourenco de gusmao, BOQUEIRÃO, Curitiba",-25.5002192,-49.2326838
7994,"rua joão batista zagonel passos, ALTO BOQUEIRÃO, Curitiba",-25.5215411,-49.26125740000001
