,Endereco,LATITUDE,LONGITUDE
4000,"rua carlos stellfeld, BACACHERI, Curitiba",-25.432073,-49.2846637
4001,"rua enetti dubard, TATUQUARA, Curitiba",-25.5676444,-49.33917750000001
4002,"rua joao schleder sobrinho, BOA VISTA, Curitiba",-25.3914536,-49.2509047
4003,"rua iretama, ALTO BOQUEIRÃO, Curitiba",-25.5509229,-49.2523227
4004,"rua paulo nadolny, BACACHERI, Curitiba",-25.3910096,-49.2327583
4005,"rua vicente costa, ALTO BOQUEIRÃO, Curitiba",-25.5254766,-49.2506819
4006,"rua visconde do rio branco, MERCÊS, Curitiba",-25.4256936,-49.283224
4007,"rua ferdinando ferreira, GUABIROTUBA, Curitiba",-25.4626395,-49.2373722
4008,"rua das aguias, CIDADE INDUSTRIAL, Curitiba",-25.4944765,-49.3472869
4009,"rua hermenegildo bonat, XAXIM, Curitiba",-25.5083331,-49.2816194
4010,"rua aurelio buarque de holanda, BUTIATUVINHA, Curitiba",-25.3919804,-49.3551261
4011,"rua juli fecci melo, 95, TATUQUARA, Curitiba",-25.5647384,-49.3282697
4012,"rua ajax, CACHOEIRA, Curitiba",-25.3517635,-49.2583598
4013,"rua theodoro makiolka, CACHOEIRA, Curitiba",-25.3605124,-49.2504506
4014,"rua jose a. d. paula, CIDADE INDUSTRIAL, Curitiba",-25.5146831,-49.3138984
4015,"rua juli fecci mello, SÍTIO CERCADO, Curitiba",-25.5575926,-49.26149590000001
4016,"rua augusto conte, SANTA FELICIDADE, Curitiba",-25.4000327,-49.32197310000001
4017,"rua antônio zanon, TATUQUARA, Curitiba",-25.5677822,-49.3221379
4018,"rua lodovico kaminski, PORTÃO, Curitiba",-25.4755627,-49.3590222
4019,"rua albino blum, BARREIRINHA, Curitiba",-25.3700924,-49.2512256
4020,"rua jornalista geraldo russe, PILARZINHO, Curitiba",-25.3894342,-49.2947585
4021,"rua joão waldir teixeira de faria, BARREIRINHA, Curitiba",-25.3687991,-49.25777979999999
4022,"rua arlete martins, ABRANCHES, Curitiba",-25.3661174,-49.2794797
4023,"rua hayton da silva pereira, CAPÃO DA IMBUIA, Curitiba",-25.4361287,-49.2145358
4024,"rua polysú, JUVEVÊ, Curitiba",-25.4111204,-49.2604097
4025,"rua sebastiana cordeiro, CIDADE INDUSTRIAL, Curitiba",-25.4618204,-49.345091
4026,"rua fernando corrêa de azevedo, SANTA FELICIDADE, Curitiba",-25.3835558,-49.33253819999999
4027,"rua pedro polati, FAZENDINHA, Curitiba",-25.4874901,-49.332693
4028,"rua evaldo  nikel, CAJURU, Curitiba",-25.5031291,-49.2152513
4029,"rua zacarias de paula neves, PORTÃO, Curitiba",-25.4672253,-49.2959664
4030,"rua winston churchil, CAPÃO RASO, Curitiba",-25.5067755,-49.2957937
4031,"rua zem bertapelle, SANTA FELICIDADE, Curitiba",-25.3975086,-49.331033
4032,"rua albino niquele, UMBARÁ, Curitiba",-25.5607848,-49.2865092
4033,"rua edgard simone, ABRANCHES, Curitiba",-25.3801497,-49.2705659
4034,"rua delegado naby paraná, CAPÃO RASO, Curitiba",-25.4973282,-49.2900903
4035,"rua josé kormann, SÃO LOURENÇO, Curitiba",-25.3942908,-49.264207
4036,"rua joaquim mendes da silva, SÍTIO CERCADO, Curitiba",-25.5477459,-49.2575563
4037,"rua ibaití, SÍTIO CERCADO, Curitiba",-25.541858,-49.2814471
4038,"rua ernesto valt, MOSSUNGUÊ, Curitiba",-25.4317261,-49.32888149999999
4039,"rua alexandre marcoski, SÃO BRAZ, Curitiba",-25.4183762,-49.3417184
4040,"rua doutor waldemiro pereira, CAPÃO RASO, Curitiba",-25.5144682,-49.3035361
4041,"rua canal belém, PINHEIRINHO, Curitiba",-25.4854914,-49.2346413
4042,"rua edvirgens groshoska sichon, PINHEIRINHO, Curitiba",9.0077023,99.891325
4043,"rua joão baptista mayer, ABRANCHES, Curitiba",-25.3581349,-49.2744317
4044,"rua doutor waldemiro pereira, CIDADE INDUSTRIAL, Curitiba",-25.5145159,-49.30622700000001
4045,"rua pedro picussa, UMBARÁ, Curitiba",-25.5570135,-49.2822918
4046,"rua engenheiro emilio guetter, HAUER, Curitiba",-25.485482,-49.2635589
4047,"rua otacilio rodrigues de oliveira, CRISTO REI, Curitiba",-25.5153961,-49.3312179
4048,"rua waldir dacol, UMBARÁ, Curitiba",-25.5562366,-49.26428
4049,"rua jornalista lourival souza curvelo, CAJURU, Curitiba",-18.7532048,-44.4306733
4050,"rua sergipe, GUAÍRA, Curitiba",-25.4716086,-49.2739108
4051,"rua avelino mantovani, UBERABA, Curitiba",-25.4850299,-49.2036922
4052,"rua jose demeterco, CAJURU, Curitiba",-25.4469296,-49.2257811
4053,"rua julio woss, CIDADE INDUSTRIAL, Curitiba",-25.4354334,-49.36007439999999
4054,"rua abdias galdino da silva, PINHEIRINHO, Curitiba",-25.5279621,-49.27666139999999
4055,"rua maria custumak, CIDADE INDUSTRIAL, Curitiba",-25.4547996,-49.3506827
4056,"rua rubens joão henrique plois, CAJURU, Curitiba",-25.4701188,-49.19047459999999
4057,"rua josé osires baglioli, PINHEIRINHO, Curitiba",-25.5192413,-49.2778381
4058,"rua dom ático, SEMINÁRIO, Curitiba",-25.4497582,-49.2983497
4059,"rua da mina, CACHOEIRA, Curitiba",-25.3575889,-49.2636731
4060,"rua cândido hartmann, SANTA FELICIDADE, Curitiba",-25.4214015,-49.3220827
4061,"rua cândido hartmann, VILA IZABEL, Curitiba",-25.4230347,-49.30854309999999
4062,"rua tereza zacot nicco, MOSSUNGUÊ, Curitiba",-25.4352412,-49.336485
4063,"rua francisco licnerski, UBERABA, Curitiba",-25.4810541,-49.20310809999999
4064,"rua agostinho leão júnior, ALTO DA GLÓRIA, Curitiba",-25.4214388,-49.26162979999999
4065,"rua joão ivanoski, BAIRRO ALTO, Curitiba",-25.3932751,-49.2145185
4066,"rua andrea de paula soares, SÍTIO CERCADO, Curitiba",-25.5497174,-49.2510322
4067,"rua josé osires baglioli, XAXIM, Curitiba",-25.5192413,-49.2778381
4068,"rua ignez de souza soares, TATUQUARA, Curitiba",-25.5498496,-49.29864389999999
4069,"rua sebastião ribeiro batista, CIDADE INDUSTRIAL, Curitiba",-25.4981488,-49.3216362
4070,"rua joão batista casagrande, BUTIATUVINHA, Curitiba",-25.3983301,-49.3446234
4071,"rua victor vasco garcia, PINHEIRINHO, Curitiba",-25.5192177,-49.287534
4072,"rua eloi orestes zeglin, PINHEIRINHO, Curitiba",-25.506528,-49.2906626
4073,"rua máximo joão kopp, SANTA CÂNDIDA, Curitiba",-25.3741375,-49.2154339
4074,"rua hipólito da costa, ALTO BOQUEIRÃO, Curitiba",-25.4924939,-49.2487775
4075,"rua canal belém, BOA VISTA, Curitiba",-25.4854914,-49.2346413
4076,"rua joao azolin, SANTA FELICIDADE, Curitiba",-25.4116348,-49.3273198
4077,"rua desembargador aurélio feijó, BACACHERI, Curitiba",-25.3978618,-49.2453241
4078,"rua inácio wolski, CIDADE INDUSTRIAL, Curitiba",-25.5499585,-49.3428021
4079,"rua victor meireles, UBERABA, Curitiba",-25.5038328,-49.2146017
4080,"rua padre josé lopacinski, SÃO BRAZ, Curitiba",-25.4377609,-49.3551245
4081,"rua maua, ALTO DA GLÓRIA, Curitiba",-25.4189954,-49.2611743
4082,"rua joão batista bettega júnior, TATUQUARA, Curitiba",-25.5631789,-49.3136166
4083,"rua hugo gusso, CAPÃO RASO, Curitiba",-25.4971523,-49.2849157
4084,"rua acelino grande, SÃO BRAZ, Curitiba",-25.4043322,-49.3448792
4085,"rua amazonas, ÁGUA VERDE, Curitiba",-25.4647999,-49.2824837
4086,"rua professor algacir munhos mader, CIDADE INDUSTRIAL, Curitiba",-25.494,-49.333669
4087,"rua sérgio carlos de mattos, BIGORRILHO, Curitiba",-25.435269,-49.3044008
4088,"rua tenente antonio miranda marques, UBERABA, Curitiba",-25.5019488,-49.215185
4089,"rua joão dembiski, CIDADE INDUSTRIAL, Curitiba",-25.4632912,-49.3455793
4090,"rua waldemar cavanha, CIDADE INDUSTRIAL, Curitiba",-25.4740917,-49.3293956
4091,"rua presidente wenceslau braz, CAJURU, Curitiba",-25.4749753,-49.2736584
4092,"rua antonio zanon, TATUQUARA, Curitiba",-25.5677822,-49.3221379
4093,"rua capitao jose da silva sobrinho, BACACHERI, Curitiba",-25.3964121,-49.23445539999999
4094,"rua rio japura, BAIRRO ALTO, Curitiba",-25.400467,-49.2003149
4095,"rua dona saza lattes, UBERABA, Curitiba",-25.4723908,-49.2230678
4096,"rua av. anita garibaldi, BOA VISTA, Curitiba",-25.387101,-49.2610471
4097,"rua pedro de araújo franco, JARDIM BOTÂNICO, Curitiba",-25.4386841,-49.2547717
4098,"rua araranguá, CIDADE INDUSTRIAL, Curitiba",-25.4644404,-49.3413529
4099,"rua vergilia calixto, UMBARÁ, Curitiba",-25.5985393,-49.273315
4100,"rua maria gabardo mendes, PORTÃO, Curitiba",-25.4740446,-49.2981631
4101,"rua yara amaral, TATUQUARA, Curitiba",-25.5697627,-49.3370287
4102,"rua silvio manfron, BUTIATUVINHA, Curitiba",-25.3908295,-49.3432008
4103,"rua travessa 2, BUTIATUVINHA, Curitiba",-25.3894159,-49.355035
4104,"rua deputado olivio belich, BOM RETIRO, Curitiba",-25.4046045,-49.2816592
4105,"rua luiz zilli, CAMPO COMPRIDO, Curitiba",-25.4552773,-49.3251108
4106,"rua francisco torres, CENTRO, Curitiba",-25.4316262,-49.2610171
4107,"rua waldemar loureiro campos, XAXIM, Curitiba",-25.5123432,-49.2602245
4108,"rua av. candido hartmann, SANTA FELICIDADE, Curitiba",-25.41498,-49.328666
4109,"rua br 277 / rodovia do xisto, CIDADE INDUSTRIAL, Curitiba",-25.5079208,-49.3400435
4110,"rua adolfo bertholdi, TATUQUARA, Curitiba",-25.5895674,-49.34138189999999
4111,"rua luiz delfino, PORTÃO, Curitiba",-25.4688832,-49.3139641
4112,"rua josé baggio, CAMPO COMPRIDO, Curitiba",-25.4486425,-49.3265878
4113,"rua josepha mattozo, CACHOEIRA, Curitiba",-25.3530412,-49.2578448
4114,"rua joão tobias de paiva netto, UBERABA, Curitiba",-25.4718962,-49.1946492
4115,"rua josé serrato, BOA VISTA, Curitiba",-25.3780163,-49.23550729999999
4116,"rua doutor hugo de barros, JARDIM DAS AMÉRICAS, Curitiba",-25.4606518,-49.2298139
4117,"rua epaminondas ribeiro, CIDADE INDUSTRIAL, Curitiba",-25.5484715,-49.3394262
4118,"rua fonte da vida, CAJURU, Curitiba",-25.4626431,-49.2103011
4119,"rua nossa senhora aparecida, UBERABA, Curitiba",-25.4805112,-49.2146442
4120,"rua n.s aparecida, UBERABA, Curitiba",-25.4805112,-49.2146442
4121,"rua logradouro não denominado, CIDADE INDUSTRIAL, Curitiba",-25.5040295,-49.3297882
4122,"rua n/i, TATUQUARA, Curitiba",-25.5712105,-49.32011170000001
4123,"rua jose manuel seiller souza, BOA VISTA, Curitiba",-25.3932755,-49.24314529999999
4124,"rua quadra 10, PINHEIRINHO, Curitiba",-25.527816,-49.29186550000001
4125,"rua av. presidente faria, CENTRO, Curitiba",-25.4273866,-49.2685354
4126,"rua cidade de xaxim, SÍTIO CERCADO, Curitiba",-25.5343563,-49.2583985
4127,"rua comendador franco, JARDIM DAS AMÉRICAS, Curitiba",-25.4626765,-49.2360685
4128,"rua padre manuel da nóbrega, FANNY, Curitiba",-25.4847986,-49.2752093
4129,"rua julia fecce melo, SÍTIO CERCADO, Curitiba",-25.5575926,-49.26149590000001
4130,"rua padre estanislau piasecki, CAMPO COMPRIDO, Curitiba",-25.4362357,-49.3581679
4131,"rua leônidas xavier de freitas, PILARZINHO, Curitiba",-25.3853316,-49.292013
4132,"rua irmgard wagner de frança, CIDADE INDUSTRIAL, Curitiba",-25.499699,-49.3484464
4133,"rua arno feliciano de castilho, BAIRRO ALTO, Curitiba",-25.4147371,-49.1976839
4134,"rua ireneu maximize, TATUQUARA, Curitiba",-25.5647384,-49.3282697
4135,"rua eduardo gerber, JARDIM DAS AMÉRICAS, Curitiba",-25.4600339,-49.2352942
4136,"rua ubaldino do amaral, ALTO DA GLÓRIA, Curitiba",-25.423396,-49.2604049
4137,"rua euclides da cunha ribas, ATUBA, Curitiba",-25.4019938,-49.1880774
4138,"rua presbítero waldemiro miguel cidral, SÍTIO CERCADO, Curitiba",-25.5569702,-49.2560452
