,Endereco,LATITUDE,LONGITUDE
71,"rua marquês de barbacena, CIDADE INDUSTRIAL, Curitiba",-25.4810339,-49.3480224
72,"rua professor theodócio jorge atherino, BOQUEIRÃO, Curitiba",-25.4775147,-49.3413756
73,"rua doutor bley zornig, BOQUEIRÃO, Curitiba",-25.5131678,-49.22919539999999
74,"rua laranjeiras do sul, ALTO BOQUEIRÃO, Curitiba",-25.52721,-49.234025
75,"rua alvares de azevedo, CIDADE INDUSTRIAL, Curitiba",-25.4817657,-49.348043
76,"rua josé batista dos santos, CIDADE INDUSTRIAL, Curitiba",-25.4799406,-49.3439543
77,"rua das torres, TATUQUARA, Curitiba",-25.5647384,-49.3282697
78,"rua laranjeiras do sul, BOQUEIRÃO, Curitiba",-25.52721,-49.234025
79,"rua manoel ribas, CASCATINHA, Curitiba",-25.4137614,-49.3117505
80,"rua comendador araújo, CENTRO, Curitiba",-25.4370356,-49.2803024
81,"rua antonio vieira borges, REBOUÇAS, Curitiba",-25.4429538,-49.25237260000001
82,"rua reinaldo strobel, CIDADE INDUSTRIAL, Curitiba",-25.48512,-49.3545069
83,"rua pastor manoel virgínio de souza, CAPÃO DA IMBUIA, Curitiba",-25.4363383,-49.2106874
84,"rua guabirotuba, PRADO VELHO, Curitiba",-25.4479094,-49.2527137
85,"rua rogerio pereira de camargo, CAMPO COMPRIDO, Curitiba",-25.4441213,-49.3552498
86,"rua engenheiro alberto monteiro de carvalho, CAPÃO DA IMBUIA, Curitiba",-25.4359762,-49.2114722
87,"rua brigadeiro arthur carlos peralta, BOA VISTA, Curitiba",-25.3859715,-49.2489825
88,"rua marechal floriano peixoto, REBOUÇAS, Curitiba",-25.4454801,-49.2648526
89,"rua pinheiro machado, FAZENDINHA, Curitiba",-25.4864749,-49.3311915
90,"rua elias casseb, TATUQUARA, Curitiba",-25.5616529,-49.33264459999999
91,"rua elias casseb, PINHEIRINHO, Curitiba",-25.5616529,-49.33264459999999
92,"rua hiato shimori, BOQUEIRÃO, Curitiba",-25.5030083,-49.2367172
93,"rua arthur martins franco, PORTÃO, Curitiba",-25.4962233,-49.33521289999999
94,"rua joão batista dos santos, CIDADE INDUSTRIAL, Curitiba",-25.4936221,-49.3504437
95,"rua garuva, CIDADE INDUSTRIAL, Curitiba",-25.4770185,-49.3411638
96,"rua coronel pedro scherer sobrinho, CAPÃO DA IMBUIA, Curitiba",-25.4359731,-49.2399987
97,"rua assis brasil, BARREIRINHA, Curitiba",-25.3692062,-49.2645258
98,"rua são bento, JARDIM BOTÂNICO, Curitiba",-25.479431,-49.25371860000001
99,"rua mário bueno sobrinho, UBERABA, Curitiba",-25.4719985,-49.2254695
100,"rua vicente machado, CENTRO, Curitiba",-25.4350783,-49.28153
101,"rua aristides tissot, CIDADE INDUSTRIAL, Curitiba",-25.4762364,-49.33486809999999
102,"rua herculano de araujo filho, CIDADE INDUSTRIAL, Curitiba",-25.5280708,-49.3368429
103,"rua silvio da maia moreira, UBERABA, Curitiba",-25.4924379,-49.2257668
104,"rua alton tchekow, PINHEIRINHO, Curitiba",38.8906038,-90.1842764
105,"rua curitiba ponta grossa br-277, ORLEANS, Curitiba",-25.103103,-50.1537446
106,"rua quadra 10, TATUQUARA, Curitiba",-25.5647384,-49.3282697
107,"rua leocádio moskaleviski lacerda, SÍTIO CERCADO, Curitiba",-25.5504565,-49.2455028
108,"rua tenente coronel benjamin lage, UBERABA, Curitiba",-25.4985509,-49.2185304
109,"rua doutor bley zornig, BUTIATUVINHA, Curitiba",-25.5129372,-49.2286043
110,"rua cabral, SANTA CÂNDIDA, Curitiba",-25.4068314,-49.2514714
111,"rua nicolau salomão, BOA VISTA, Curitiba",-25.3845345,-49.2247488
112,"rua augusto basso, PILARZINHO, Curitiba",-25.3919796,-49.2849784
113,"rua deputado heitor alencar furtado, CAMPINA DO SIQUEIRA, Curitiba",-25.4378592,-49.3134264
114,"rua juarez távora, PINHEIRINHO, Curitiba",-25.5573018,-49.3327921
115,"rua joão mequetti, SANTA CÂNDIDA, Curitiba",-25.376755,-49.2378355
116,"rua ciro de castro, CIDADE INDUSTRIAL, Curitiba",-25.4711942,-49.34089609999999
117,"rua professor romão wachowicz, CIDADE INDUSTRIAL, Curitiba",-25.5097795,-49.3365689
118,"rua antonio reinaldo zanon, CIDADE INDUSTRIAL, Curitiba",-25.4780424,-49.3362823
119,"rua carlota straube de araújo, BOA VISTA, Curitiba",-25.3876684,-49.2505453
120,"rua  ladislau mikosz, CAJURU, Curitiba",-25.4683792,-49.19831929999999
121,"rua jorge adir nepomoceno, CAMPO COMPRIDO, Curitiba",-25.4377014,-49.3631514
122,"rua da ordem, PINHEIRINHO, Curitiba",-25.5378833,-49.2994965
123,"rua  winston churchill, CAPÃO RASO, Curitiba",-25.5067755,-49.2957937
124,"rua  cidade de laguna, CIDADE INDUSTRIAL, Curitiba",-25.4750745,-49.340517
125,"rua lauro da silva, CIDADE INDUSTRIAL, Curitiba",-25.5026893,-49.32389
126,"rua curitiba ponta grossa br-277, SANTA FELICIDADE, Curitiba",-25.4308832,-49.3326911
127,"rua cerro azul, CAMPO COMPRIDO, Curitiba",-25.4576947,-49.376623
128,"rua ricardo gasparian machado, SÍTIO CERCADO, Curitiba",-25.532319,-49.285807
129,"rua manoel gustavo schier, PORTÃO, Curitiba",-25.4810356,-49.3112192
130,"rua romano bertagnoli, NOVO MUNDO, Curitiba",-25.4215033,-49.3005819
131,"rua orestes codega, PINHEIRINHO, Curitiba",-25.5204652,-49.3051156
132,"rua sigismundo gradowski, CIDADE INDUSTRIAL, Curitiba",-25.4985838,-49.34016099999999
133,"rua bispo são félix, TATUQUARA, Curitiba",-25.5625999,-49.33058219999999
134,"rua  guilherme walter lowry, UBERABA, Curitiba",-25.4881863,-49.20103760000001
135,"rua guy de maupassant, ÁGUA VERDE, Curitiba",-25.3882712,-49.2861376
136,"rua prefeito joão moreira garcez, CENTRO, Curitiba",-25.428824,-49.270358
137,"rua nestor de castro, SÃO FRANCISCO, Curitiba",-25.4281705,-49.2726034
138,"rua antonio escorsin, SANTA FELICIDADE, Curitiba",-25.4175282,-49.3459213
139,"rua doutor carlos de carvalho, BATEL, Curitiba",-25.4380219,-49.2926447
140,"rua da glória, CENTRO CÍVICO, Curitiba",-25.4208533,-49.2676403
141,"rua inocêncio milani, SÃO BRAZ, Curitiba",-25.4138809,-49.3485918
142,"rua  via veneto, SANTA FELICIDADE, Curitiba",-25.4014227,-49.32990470000001
143,"rua senador accioly filho, CIDADE INDUSTRIAL, Curitiba",-25.4974267,-49.3253023
144,"rua rari graal, UMBARÁ, Curitiba",-25.560004,-49.283783
145,"rua padre paulo warkocz, SANTA FELICIDADE, Curitiba",-25.4381559,-49.35511899999999
146,"rua josé scuissiato, CAMPINA DO SIQUEIRA, Curitiba",-25.4454235,-49.3065182
147,"rua teomilia de freitas machado, FAZENDINHA, Curitiba",-25.4780177,-49.3335646
148,"rua delegado bruno de almeida, PINHEIRINHO, Curitiba",-25.5846558,-49.318286
149,"rua delegado bruno de almeida, CAXIMBA, Curitiba",-25.6085605,-49.3339732
150,"rua  jornalista emílio zola florenzano, TATUQUARA, Curitiba",-25.5759821,-49.3362475
151,"rua desembargador joaquim penido monteiro, JARDIM SOCIAL, Curitiba",-25.4142952,-49.2387415
152,"rua colômbia, BACACHERI, Curitiba",-25.4079013,-49.2391424
153,"rua  miguel de lazzari, PILARZINHO, Curitiba",-25.392724,-49.2906062
154,"rua reinaldo issberner, CAJURU, Curitiba",-25.4492541,-49.2250322
155,"rua  ewerton leinig saporski, CAMPO DE SANTANA, Curitiba",-25.5909876,-49.3428253
156,"rua  coronel herculano de araujo, NOVO MUNDO, Curitiba",-25.4873004,-49.303811
157,"rua  antonio moreira lopes, CAJURU, Curitiba",-25.4735303,-49.191649
158,"rua cândido hartmann, SANTO INÁCIO, Curitiba",-25.4228114,-49.31544419999999
159,"rua lupionópolis, SÍTIO CERCADO, Curitiba",-25.5452172,-49.2678545
160,"rua  antonio claudino, PINHEIRINHO, Curitiba",-25.5288546,-49.2962778
161,"rua  cândido hartmann, SANTO INÁCIO, Curitiba",-25.4228114,-49.31544419999999
162,"rua marechal floriano peixoto, BOQUEIRÃO, Curitiba",-25.5057767,-49.2353257
163,"rua joão rodrigues pinheiro, PINHEIRINHO, Curitiba",-25.5120256,-49.3027064
164,"rua  josé alcides de lima, NOVO MUNDO, Curitiba",-25.4926192,-49.3065644
165,"rua guy de maupassant, PILARZINHO, Curitiba",-25.3882712,-49.2861376
166,"rua luiz xavier da silva, CIDADE INDUSTRIAL, Curitiba",-25.4776639,-49.171373
167,"rua nestor victor, ÁGUA VERDE, Curitiba",-25.4556878,-49.2753666
168,"rua emilio bertolini, CAJURU, Curitiba",-25.4460421,-49.2096485
169,"rua francisco castellano, JARDIM DAS AMÉRICAS, Curitiba",-25.4695279,-49.22536119999999
170,"rua eurides cunha, ÁGUA VERDE, Curitiba",-25.4548777,-49.2906194
171,"rua generoso marques, CENTRO, Curitiba",-25.4295062,-49.2702159
